to,n,from
group marketing manager,3,group marketing manager
group sales manager,3,group sales manager
gsa,1,gsa
guest lecturer,2,guest lecturer
guest relations,2,guest relations
guest relations officer,3,guest relations officer
guest researcher,2,guest researcher
guest service agent,3,guest service agent
guest service representative,3,guest service representative
guest services,2,guest services
guest services manager,3,guest services manager
guidance counselor,2,guidance counselor
guide,1,guide
guitarist,1,guitarist
teacher,1,guru
hair stylist,2,hair stylist
hairdresser,1,hairdresser
hair stylist,2,hairstylist
officer,1,handläggare
handyman,1,handyman
hardware engineer,2,hardware engineer
human capital,1,hc
leader,1,head
head bartender,2,head bartender
head cashier,2,head cashier
head chef,2,head chef
head coach,2,head coach
head football coach,3,head football coach
head lifeguard,2,head lifeguard
head of business development,4,head of business development
head of communications,3,head of communications
head of department,3,head of department
head of engineering,3,head of engineering
head of finance,3,head of finance
hr director,3,head of hr
hr director,4,head of human resources
it director,3,head of it
head of marketing,3,head of marketing
head of operations,3,head of operations
head of production,3,head of production
head of sales,3,head of sales
head of school,3,head of school
head of section,3,head of section
lead teacher,2,head teacher
lead teller,2,head teller
head volleyball coach,3,head volleyball coach
head waiter,2,head waiter
head waitress,2,head waitress
headhunter,1,headhunter
lead teacher,2,headteacher
health and safety officer,4,health and safety officer
health coach,2,health coach
health educator,2,health educator
health unit coordinator,3,health unit coordinator
heavy equipment operator,3,heavy equipment operator
helicopter pilot,2,helicopter pilot
helpdesk,1,help desk
helpdesk analyst,2,help desk analyst
help desk specialist,3,help desk specialist
help desk technician,3,help desk technician
helpdesk,1,helpdesk
helpdesk analyst,2,helpdesk analyst
helper,1,helper
hgv driver,2,hgv driver
high school english teacher,4,high school english teacher
high school teacher,3,high school teacher
home,1,home
home care provider,3,home care provider
home health aide,3,home health aide
homemaker,1,home maker
homemaker,1,homemaker
catering assistant,2,horeca medewerker
catering assistant,2,horecamedewerker
hospital corpsman,2,hospital corpsman
hospitality,1,hospitality
host,1,host
hostess,1,hostess
hotel manager,2,hotel manager
hotel receptionist,2,hotel receptionist
hotel,1,hotelier
hostess,1,hôtesse d'accueil
cashier,1,hotesse de caisse
cashier,1,hôtesse de caisse
house manager,2,house manager
house officer,2,house officer
housewife,1,house wife
housekeeper,1,housekeeper
housekeeping,1,housekeeping
housekeeping manager,2,housekeeping manager
housekeeping supervisor,2,housekeeping supervisor
housewife,1,housewife
hewlett packard,1,hp
headquarter,1,hq
human resources,1,hr
hr manager,2,hr-manager
hr administrator,2,hr administrator
hr advisor,2,hr advisor
rh analyst,2,hr analyst
hr assistant,2,hr assistant
hr associate,2,hr associate
hr business partner,3,hr business partner
hr consultant,2,hr consultant
hr coordinator,2,hr coordinator
hr director,2,hr director
hr executive,2,hr executive
hr generalist,2,hr generalist
hr intern,2,hr intern
hr manager,2,hr manager
hr officer,2,hr officer
hr recruiter,2,hr recruiter
hr representative,2,hr representative
hr specialist,2,hr specialist
hr supervisor,2,hr supervisor
hr trainee,2,hr trainee
hrd,1,hrd
risk analyst,2,hris analyst
human resources manager,1,hrm
hse advisor,2,hse advisor
it coordinator,2,hse coordinator
hse engineer,2,hse engineer
house manager,2,hse manager
hse officer,2,hse officer
hse supervisor,2,hse supervisor
human resources,2,human resource
human resources assistant,3,human resource assistant
human resources consultant,3,human resource consultant
human resources coordinator,3,human resource coordinator
human resources manager,3,human resource manager
human resources officer,3,human resource officer
human resource specialist,3,human resource specialist
human resources,2,human resources
human resources administrator,3,human resources administrator
human resources advisor,3,human resources advisor
human resources analyst,3,human resources analyst
human resources assistant,3,human resources assistant
human resources business partner,4,human resources business partner
human resources consultant,3,human resources consultant
human resources coordinator,3,human resources coordinator
human resources director,3,human resources director
human resources generalist,3,human resources generalist
human resources intern,3,human resources intern
human resources manager,3,human resources manager
human resources officer,3,human resources officer
human resources representative,3,human resources representative
human resources specialist,3,human resources specialist
human resources supervisor,3,human resources supervisor
hvac engineer,2,hvac engineer
hvac tech,2,hvac tech
hvac technician,2,hvac technician
hardware,1,hw
hydraulic engineer,2,hydraulic engineer
hydrogeologist,1,hydrogeologist
information assurance,1,ia
it manager,2,ict manager
industrial engineering,1,ie
illustrator,1,illustrator
information management,1,im
immigration paralegal,2,immigration paralegal
employee,1,impiegata
administrative employee,2,impiegata amministrativa
commercial employee,2,impiegata commerciale
employee,1,impiegato
clerk,1,impiegato amministrativo
office clerk,2,impiegato d'ufficio
technical employee,2,impiegato tecnico
implementation consultant,2,implementation consultant
implementation manager,2,implementation manager
implementation specialist,2,implementation specialist
import manager,2,import manager
business owner,2,imprenditore
holder,1,indehaver
independent agent,2,independent agent
independent associate,2,independent associate
independent beauty consultant,3,independent beauty consultant
independent business owner,3,independent business owner
independent consultant,2,independent consultant
independent contractor,2,independent contractor
independent distributor,2,independent distributor
independent representative,2,independent representative
independent sales representative,3,independent sales representative
independent,1,independiente
industrial designer,2,industrial designer
industrial electrician,2,industrial electrician
industrial engineer,2,industrial engineer
